owe_id,deal_id,description,promised_date,fulfilled_date,cost,status
170000,90008,2nd Key,2025-10-08,2025-10-15,90.46,Fulfilled
170001,90022,All-weather mats,2025-10-24,,479.16,Open
170002,90022,Roof racks,2025-10-21,,128.88,Open
170003,90022,Roof racks,2025-10-19,,469.18,Open
170004,90023,Tint,2025-09-08,2025-09-08,267.96,Fulfilled
170005,90025,Tint,2025-09-11,2025-09-18,35.92,Fulfilled
170006,90025,Roof racks,2025-09-12,2025-09-17,204.2,Fulfilled
170007,90025,Roof racks,2025-09-09,,471.11,Open
170008,90026,Detail,2025-10-03,,318.12,Open
170009,90027,Tint,2025-09-02,2025-09-04,181.68,Fulfilled
170010,90027,2nd Key,2025-08-29,2025-09-05,225.49,Fulfilled
170011,90027,Detail,2025-08-28,,288.18,Open
170012,90032,Roof racks,2025-10-22,2025-10-22,494.11,Fulfilled
170013,90032,All-weather mats,2025-10-21,2025-10-23,60.88,Fulfilled
170014,90032,2nd Key,2025-10-24,2025-10-24,315.53,Fulfilled
170015,90036,2nd Key,2025-09-10,,294.5,Open
170016,90036,All-weather mats,2025-09-13,2025-09-17,168.62,Fulfilled
