vehicle_id,vin,stock_no,year,make,model,trim,body_style,drivetrain,engine,transmission,exterior_color,interior_color,msrp,invoice,vehicle_cost,used_flag,certified_flag
9000,PDJ9VRXXSWKR3WUDM,ATN-00001,2022,Chevrolet,Malibu,Touring,Coupe,AWD,Hybrid,CVT,Black,Beige,45901.58,42358.58,42094.97,False,False
9001,SRWK6D33J1STPYF50,ATN-00002,2025,Chevrolet,Equinox,EX,Sedan,FWD,V6,Manual,Gray,Gray,24216.08,22826.81,22922.65,True,True
9002,APNH7SP2SXV16ZWT0,ATN-00003,2023,Chevrolet,Equinox,Limited,Truck,RWD,V8,CVT,Blue,Black,42038.17,40700.05,41062.14,False,False
9003,3VKNYR1S8YT886LZL,ATN-00004,2021,Honda,CR-V,Limited,Sedan,FWD,I4,Manual,White,Black,29914.05,29117.2,29688.27,True,False
9004,KAP960D78BA3ABUVB,ATN-00005,2022,Chevrolet,Equinox,LE,Sedan,RWD,V6,Automatic,Red,Beige,56665.21,55225.14,54357.04,False,False
9005,026SRWFCF2117DALF,ATN-00006,2024,Ford,Explorer,LE,Sedan,FWD,V6,Automatic,Gray,Brown,58349.18,55939.03,55561.49,False,False
9006,CMXBPK2EWLS1Y1JF9,ATN-00007,2021,Ford,F-150,Limited,Truck,4WD,V8,Automatic,Gray,Beige,24308.95,23001.74,23313.34,False,False
9007,14M1FVSEFUK1K1X0G,ATN-00008,2022,Chevrolet,Malibu,Sport,Sedan,RWD,I4,Automatic,Blue,Brown,62547.29,59212.53,59831.53,True,True
9008,ZFX1AV31FSL1LJUWU,ATN-00009,2021,Chevrolet,Silverado 1500,LE,Truck,4WD,I4,CVT,Silver,Gray,28275.2,26296.85,26061.19,False,False
9009,JWA2Y1Y5Y4JWXN7XM,ATN-00010,2024,Chevrolet,Equinox,LE,Coupe,RWD,V8,CVT,Silver,Brown,63655.18,59675.9,60141.27,False,False
9010,MB6P5VE38JWSTK41E,ATN-00011,2025,Ford,F-150,XLE,Coupe,FWD,V8,Manual,Red,Black,64600.13,61289.64,61046.46,False,False
9011,C2Y4GAGTR9R50269K,ATN-00012,2023,Toyota,RAV4,SE,Sedan,FWD,V6,CVT,Silver,Beige,64901.22,61589.07,61085.1,False,False
9012,Z7G55XEWCHBYGLSML,ATN-00013,2025,Chevrolet,Equinox,EX,Coupe,RWD,V6,Manual,Gray,Brown,46073.5,45037.2,44554.14,False,False
9013,541APPUEGM0XN6HT8,ATN-00014,2025,Chevrolet,Silverado 1500,XLE,Truck,AWD,Hybrid,Manual,Black,Beige,47669.75,45604.63,45763.34,False,False
9014,SWHM0K913J14M8ML8,ATN-00015,2023,Toyota,RAV4,LE,Sedan,AWD,I4,CVT,Black,Gray,28032.75,26319.24,26267.66,False,False
9015,358LFBRVCURVL689H,ATN-00016,2024,Chevrolet,Malibu,EX,Sedan,4WD,V6,CVT,White,Gray,55329.86,53636.6,53350.96,True,False
9016,ZF5HSPZ4LJPPDZULX,ATN-00017,2024,Ford,F-150,Limited,Sedan,RWD,Hybrid,Automatic,Silver,Gray,34441.33,32238.48,32700.16,False,False
9017,S28KU315EF29U068X,ATN-00018,2022,Honda,CR-V,Sport,Truck,FWD,Hybrid,Automatic,Blue,Gray,53430.07,50625.36,50957.75,True,True
9018,YJ8YDCG6BHL56A4NJ,ATN-00019,2023,Chevrolet,Traverse,Limited,Truck,AWD,I4,CVT,Gray,Gray,28836.03,28142.91,27888.52,False,False
9019,4FGAP7EJR5AAYH4J7,ATN-00020,2023,Toyota,Tacoma,XLE,Truck,AWD,V8,Automatic,Blue,Gray,38472.01,37081.09,36491.39,True,True
9020,AL5ZPK35PFGJH1Z4X,ATN-00021,2025,Honda,Civic,Platinum,Truck,FWD,V8,Automatic,Red,Gray,33909.61,31368.25,31435.25,True,True
9021,81HS8EA0XJ130M7EB,ATN-00022,2021,Chevrolet,Traverse,XLE,Coupe,AWD,Hybrid,CVT,Gray,Brown,33273.97,30691.56,30151.96,True,True
9022,WF9PKX2EW4SDSF4H6,ATN-00023,2023,Toyota,RAV4,LE,Sedan,RWD,I4,Automatic,Blue,Beige,50641.42,48589.59,47959.18,True,False
9023,UHBY4UETE8690D8L0,ATN-00024,2023,Ford,Escape,SE,Sedan,RWD,I4,Automatic,White,Gray,55253.14,53797.56,54172.25,True,False
9024,KMC3RXS3XUE0H9DMR,ATN-00025,2023,Toyota,Tacoma,LT,Truck,AWD,I4,Manual,Blue,Black,24963.84,23663.36,23457.31,True,False
9025,WS608NSKA3BRZAYA1,ATN-00026,2023,Ford,Escape,Platinum,Coupe,FWD,V6,Manual,Silver,Black,26469.81,25193.67,24929.81,False,False
9026,06FG9J2ED4JSVTX2X,ATN-00027,2025,Toyota,RAV4,LT,SUV,FWD,V6,Automatic,Black,Brown,41468.59,38732.35,39419.55,False,False
9027,ZP5W6THFLWCPXKFSZ,ATN-00028,2024,Chevrolet,Traverse,LE,SUV,FWD,Hybrid,CVT,Red,Gray,44078.77,42343.43,41937.22,False,False
9028,HADRJN20FTEBEN5JF,ATN-00029,2021,Toyota,Tacoma,SE,Coupe,4WD,Hybrid,Automatic,Blue,Brown,27268.69,26628.88,26150.24,False,False
9029,UU5KCSV837DFU1J3N,ATN-00030,2022,Honda,Accord,SE,Coupe,AWD,V8,CVT,Silver,Gray,64544.36,62408.91,62057.2,True,True
9030,BUD7ZRLGSSUDR1ZMM,ATN-00031,2025,Toyota,Corolla,XLE,Sedan,AWD,V6,Manual,Black,Brown,56667.04,54505.62,55408.19,True,False
9031,FDRRB7AYNJYMXDBKK,ATN-00032,2024,Ford,Escape,Base,Coupe,FWD,V8,CVT,Silver,Gray,63304.03,59658.7,60713.28,True,False
9032,MZRM1WVJMA2CMXRG8,ATN-00033,2024,Honda,Pilot,Sport,SUV,FWD,V8,CVT,White,Beige,54049.76,50497.6,51471.96,True,False
9033,TGAD153L381Z1G7RL,ATN-00034,2021,Honda,CR-V,Sport,Truck,AWD,I4,Automatic,Silver,Gray,25169.5,24433.19,24232.75,False,False
9034,FY7B4L4LDGYPN3TVW,ATN-00035,2021,Chevrolet,Equinox,Touring,SUV,FWD,V8,Automatic,Blue,Black,24134.32,23031.53,23344.62,True,True
9035,BPLVF7HW278TF1M01,ATN-00036,2022,Ford,Mustang,LE,Truck,RWD,V8,Manual,White,Gray,30023.07,27701.6,27634.83,False,False
9036,3RD137S7WF2C9KH5M,ATN-00037,2023,Toyota,Camry,Touring,Coupe,RWD,V6,Manual,Silver,Beige,56763.81,52652.47,52491.09,True,True
9037,2XU6A3H3KKGGGVZ3T,ATN-00038,2024,Toyota,Camry,Touring,SUV,AWD,Hybrid,Automatic,Red,Brown,50155.87,47864.82,47813.22,False,False
9038,D7U0BYWWU8GRJW5XU,ATN-00039,2023,Toyota,Tacoma,XLE,Coupe,4WD,V8,Automatic,Red,Gray,48014.1,44430.19,44326.61,False,False
9039,JBMNNDSC6D0NU0692,ATN-00040,2025,Toyota,Corolla,LT,Coupe,AWD,V8,Automatic,Silver,Black,32403.34,30761.37,30695.05,True,True
9040,LPRRPU39BA7JMARTW,ATN-00041,2024,Ford,F-150,Base,Truck,RWD,Hybrid,CVT,Gray,Brown,40223.69,37914.39,37684.95,False,False
9041,VWG7EYUXUTWNKSD2X,ATN-00042,2025,Toyota,Camry,Sport,Coupe,4WD,Hybrid,Manual,White,Gray,50182.22,49170.96,48697.79,True,True
9042,Z9WLMVG7JTMYFRZRW,ATN-00043,2025,Ford,Escape,EX,Truck,4WD,I4,CVT,White,Black,55887.89,52527.86,52024.77,False,False
9043,1W3DKJNY36KXMF8YM,ATN-00044,2025,Chevrolet,Equinox,LE,SUV,RWD,Hybrid,Automatic,Black,Brown,49283.46,45354.72,44943.86,False,False
